"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","tcoefM","repl"
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.999995812134552,0.398469252347882,0.000545252277745888,0.601530747652118,0.000823114979032705,0.00107270971069084,0.00107270971069084,-0.000337220518632774,0.00062713601664529,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.999995588308389,0.710223290073831,0.00179770629051382,0.289776709926169,0.000733478360340056,0.00157356589749691,0.00157356589749691,0.000126064972050841,0.000270052538685228,4
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.999997125680712,0.398668109795569,0.000728094003536419,0.601331890204431,0.00109822213674823,0.00264611021465955,0.00264611021465955,-0.000194496098828612,-8.89379722430818e-05,5
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.999993629539359,0.585966781806769,0.000740812109206419,0.414033218193231,0.000523444043543742,0.00198544967665981,0.00198544967665981,-0.000141387289501111,2.09058959221484e-05,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.999989524092536,0.391121995019477,0.000659967740536492,0.608878004980523,0.00102740282143773,0.00322522934678338,0.00322522934678338,-0.000224622960736574,0.000129458596286704,2
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.999980101933354,0.718806540153127,0.00201394107129883,0.281193459846873,0.000787843496312093,0.00643694444965925,0.00643694444965925,0.000148848505988847,5.55141571152831e-05,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.999990762308005,0.493948698518678,0.000678947176120336,0.506051301481321,0.000695582563823218,0.00108101902831703,0.00108101902831703,3.47622728332712e-05,-0.000172551860673972,4
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.7,0.1,0.999990811423736,0.69743412837382,0.00124936105780151,0.30256587162618,0.000542006767450457,0.0116741558321483,0.0116741558321483,0.00028594429909143,-1.58417634548356e-05,5
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.999993244534936,0.732105613136658,0.00105747777366575,0.267894386863342,0.000386955590442819,0.0053739370764172,0.0053739370764172,0.000135077700836803,1.19771022008199e-05,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.999990268029578,0.452303790881526,0.000809145303772337,0.547696209118474,0.000979796818944207,0.00330677821106695,0.00330677821106695,9.58816657597968e-05,5.83032611576166e-05,2
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.99998552607327,0.507388924894618,0.000570512011032941,0.492611075105382,0.000553895683028244,0.0181739152814384,0.0181739152814384,-0.000112098455871765,-4.56665355275951e-05,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.8,0.1,0.999989583023327,0.483003529073443,0.00056958763862329,0.516996470926557,0.000609674218357225,0.0117838057015551,0.0117838057015551,-4.61716423582901e-05,7.93832368979813e-05,4
