"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","fiterrP","fiterrM","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","c.0..rep.tcoefM..each...10.."
100,100,100,200,3,3,3,2,1,0.1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.979838908854392,0.728082367800882,0.00672509090909091,0.271917632199117,0.00251162626262626,0.9689,0.0310999999999999,0.00468242424242423,-0.000156969696969708
100,100,100,200,3,3,3,2,1,0.15,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.954661535360389,0.565988779701539,0.00392642424242424,0.434011220298461,0.00301085858585859,1.0047,0.00469999999999993,-0.000595151515151522,-0.00174
100,100,100,200,3,3,3,2,1,0.25,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.808679941263832,0.671040311156995,0.0141159090909091,0.328959688843005,0.0069199494949495,0.918,0.0819999999999999,0.00727939393939395,-0.00523696969696969
100,100,100,200,3,3,3,2,1,0.5,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.0339143632590486,0.533346710237153,0.00902125252525252,0.466653289762847,0.00789317171717172,0.754,0.246,0.00198060606060614,-0.00474787878787877
100,100,100,200,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,-0.0468582276731274,0.705858575918886,0.0188385454545455,0.294141424081114,0.00785029292929293,0.4639,0.5361,0.00353030303030306,0.000110303030303021
100,100,100,200,3,3,3,2,1,1.25,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.189107815710951,0.673659656980946,0.0228242424242424,0.326340343019054,0.0110567272727273,0.4328,0.5672,0.00355878787878785,-0.0124212121212121
100,100,100,200,3,3,3,2,1,1.5,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.351680455361788,0.590258690637666,0.0215078282828283,0.409741309362334,0.0149301414141414,0.2699,0.7301,0.00796121212121221,-0.00387575757575757
100,100,100,200,3,3,3,2,1,2,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.377654599526519,0.626356782160114,0.0195151515151515,0.373643217839886,0.0116414545454545,0.2164,0.7836,0.00217515151515151,-0.000453939393939405
100,100,100,200,3,3,3,2,1,2.5,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.870769465064237,0.558971290763984,0.0410604444444444,0.441028709236016,0.0323967171717172,0.1791,0.8209,0.002079393939394,-0.00079878787878787
100,100,100,200,3,3,3,2,1,5,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.978278768593813,0.64724992237386,0.0247614545454545,0.35275007762614,0.0134949494949495,0.0255999999999998,0.9744,0.00650363636363629,0.00117878787878788
100,100,100,200,3,3,3,2,1,1,500,41,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.312414271597336,0.684536914777229,0.00916415151515151,0.315463085222771,0.00422322222222222,0.4158,0.5842,0.00251393939393938,0.000684848484848499
100,100,100,200,3,3,3,2,1,1,500,39,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.0566100975078384,0.638592957942876,0.0231757575757576,0.361407042057124,0.0131161515151515,0.4359,0.5641,0.0124018181818182,-0.000829090909090898
100,100,100,200,3,3,3,2,1,1,500,37,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.115412798102028,0.655119830479705,0.0169197070707071,0.344880169520295,0.00890718181818182,0.421,0.579,-0.0101018181818181,-0.00194909090909095
100,100,100,200,3,3,3,2,1,1,500,35,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,-0.302397639116376,0.517094118672403,0.0105477171717172,0.482905881327597,0.00985034343434343,0.5228,0.4772,-0.00158848484848481,-0.00291454545454548
100,100,100,200,3,3,3,2,1,1,500,33,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.514745334578907,0.820521702805052,0.0565843535353535,0.179478297194948,0.0123770808080808,0.392,0.608,0.0089854545454545,-0.00240787878787877
100,100,100,200,3,3,3,2,1,1,500,31,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.270111710574811,0.822629673653306,0.0337649595959596,0.177370326346694,0.00728019191919192,0.4206,0.5794,0.0159448484848484,-0.000729090909090866
100,100,100,200,3,3,3,2,1,1,500,29,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,-0.535028316290402,0.640170668772898,0.00969337373737374,0.359829331227102,0.00544848484848485,0.4966,0.5034,0.00643818181818179,-0.00939818181818183
100,100,100,200,3,3,3,2,1,1,500,27,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.102558128470941,0.889228385713726,0.0460559494949495,0.110771614286274,0.00573721212121212,0.4627,0.5373,0.00324121212121203,-0.00187272727272725
100,100,100,200,3,3,3,2,1,1,500,25,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.223439224497377,0.641506561656287,0.0361808080808081,0.358493438343713,0.0202189393939394,0.4335,0.5665,0.00683575757575767,-0.00149696969696964
100,100,100,200,3,3,3,2,1,1,500,23,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.792647295435983,0.586909361285353,0.0388296565656566,0.413090638714647,0.0273298888888889,0.3079,0.6921,0.00829212121212128,0.00244000000000004
100,100,100,200,3,3,3,2,1,1,500,30,0.00001,0.001,0.001,0.2,0.6,0.6,0.1,1,0,0,1,0.0000106666666666666,1.3288,0.3288,-0.0000157575757575952,-0.000293939393939391
100,100,100,200,3,3,3,2,1,1,500,30,0.000025,0.001,0.001,0.2,0.6,0.6,0.1,-0.95988356008544,0.919254608709562,0.001161,0.0807453912904384,0.000101979797979798,0.5033,0.4967,0.000546666666666676,0.000316969696969698
100,100,100,200,3,3,3,2,1,1,500,30,0.00005,0.001,0.001,0.2,0.6,0.6,0.1,-0.880175688227599,0.735374146669539,0.00168980808080808,0.264625853330461,0.000608080808080808,0.4693,0.5307,0.00253878787878788,0.00117333333333333
